Cohort,Year,County,District,School,Grade,Subject,Scored,Category,Score,Students
1,2016,State,,,8,English,123275,Top,58.4,71993
1,2016,State,,,8,Math,123175,Top,31.2,38431
1,2016,State,,,8,Science,122955,Top,57.6,70823
1,2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,8,English,61,Top,70.5,44
1,2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,8,Math,61,Top,23,15
1,2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,8,Science,61,Top,77,47
1,2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,8,English,205,Top,51.2,105
1,2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,8,Math,203,Top,29.5,60
1,2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,8,Science,203,Top,58.1,118
1,2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,8,English,112,Top,68.69999999999999,77
1,2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,8,Math,112,Top,35.8,41
1,2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,8,Science,112,Top,72.4,82
1,2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,8,English,146,Top,71.3,105
1,2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,8,Math,145,Top,67.6,99
1,2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,8,Science,145,Top,75.19999999999999,110
1,2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,8,English,62,Top,41.9,26
1,2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,8,Math,61,Top,29.5,18
1,2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,8,Science,60,Top,45,27
1,2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,8,English,118,Top,72,85
1,2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,8,Math,118,Top,25.4,30
1,2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,8,Science,118,Top,74.5,88
1,2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,8,English,184,Top,66.8,123
1,2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,8,Math,186,Top,37.1,70
1,2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,8,Science,185,Top,66.5,124
1,2016,State,,,8,English,123275,Advanced,17.5,21574
1,2016,State,,,8,Math,123175,Advanced,10.5,12934
1,2016,State,,,8,Science,122955,Advanced,27.3,33567
1,2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,8,English,61,Advanced,19.7,13
1,2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,8,Math,61,Advanced,6.6,5
1,2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,8,Science,61,Advanced,34.4,21
1,2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,8,English,205,Advanced,12.2,26
1,2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,8,Math,203,Advanced,5.4,11
1,2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,8,Science,203,Advanced,24.6,50
1,2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,8,English,112,Advanced,21.4,24
1,2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,8,Math,112,Advanced,4.5,6
1,2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,8,Science,112,Advanced,31.3,36
1,2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,8,English,146,Advanced,19.9,30
1,2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,8,Math,145,Advanced,37.9,55
1,2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,8,Science,145,Advanced,48.3,71
1,2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,8,English,62,Advanced,4.8,3
1,2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,8,Math,61,Advanced,11.5,8
1,2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,8,Science,60,Advanced,23.3,14
1,2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,8,English,118,Advanced,14.4,17
1,2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,8,Math,118,Advanced,5.9,7
1,2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,8,Science,118,Advanced,34.7,41
1,2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,8,English,184,Advanced,22.8,42
