District,School,Subject,Scored,County,Year,Baseline,Score
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,38,Columbia,2016,Advanced,10.5
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,38,Columbia,2016,Advanced,28.9
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,38,Columbia,2016,Advanced,7.9
BERWICK AREA SD,BERWICK AREA HS,Math,176,Columbia,2016,Advanced,21.6
BERWICK AREA SD,BERWICK AREA HS,Science,170,Columbia,2016,Advanced,28.8
BERWICK AREA SD,BERWICK AREA HS,English,173,Columbia,2016,Advanced,8.7
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,103,Columbia,2016,Advanced,22.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,102,Columbia,2016,Advanced,37.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,102,Columbia,2016,Advanced,15.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,107,Columbia,2016,Advanced,33.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,108,Columbia,2016,Advanced,40.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,111,Columbia,2016,Advanced,13.5
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,143,Columbia,2016,Advanced,7
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,143,Columbia,2016,Advanced,12.6
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,143,Columbia,2016,Advanced,2.8
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2016,Advanced,21.4
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,43,Columbia,2016,Advanced,23.3
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,43,Columbia,2016,Advanced,7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,87,Columbia,2016,Advanced,12.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,87,Columbia,2016,Advanced,19.5
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,87,Columbia,2016,Advanced,4.6
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,20,Columbia,2016,Advanced,0
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,19,Columbia,2016,Advanced,10.5
SUSQ-CYBER CS,SUSQ-CYBER CS,English,19,Columbia,2016,Advanced,0
DANVILLE AREA SD,DANVILLE AREA SHS,Math,140,Montour,2016,Advanced,41.4
DANVILLE AREA SD,DANVILLE AREA SHS,Science,144,Montour,2016,Advanced,48.6
DANVILLE AREA SD,DANVILLE AREA SHS,English,145,Montour,2016,Advanced,17.2
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,38,Columbia,2016,Proficient,78.9
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,38,Columbia,2016,Proficient,65.8
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,38,Columbia,2016,Proficient,76.3
BERWICK AREA SD,BERWICK AREA HS,Math,176,Columbia,2016,Proficient,53.4
BERWICK AREA SD,BERWICK AREA HS,Science,170,Columbia,2016,Proficient,40
BERWICK AREA SD,BERWICK AREA HS,English,173,Columbia,2016,Proficient,68.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,103,Columbia,2016,Proficient,59.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,102,Columbia,2016,Proficient,46.1
