Year,County,District,School,Subject,Scored,Category,Score,Students
2016,State,,,Math,123525,Top,68.2,84245
2016,State,,,Science,122602,Top,65.80000000000001,80673
2016,State,,,English,123292,Top,76.8,94689
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,38,Top,89.4,34
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,38,Top,94.69999999999999,36
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,38,Top,84.2,32
2016,Columbia,BERWICK AREA SD,BERWICK AREA HS,Math,176,Top,75,132
2016,Columbia,BERWICK AREA SD,BERWICK AREA HS,Science,170,Top,68.8,117
2016,Columbia,BERWICK AREA SD,BERWICK AREA HS,English,173,Top,77.5,135
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,103,Top,81.5,84
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,102,Top,83.4,86
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,102,Top,93.2,96
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,107,Top,92.5,99
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,108,Top,93.5,101
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,111,Top,91.9,103
2016,Columbia,COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,143,Top,58,83
2016,Columbia,COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,143,Top,56.7,82
2016,Columbia,COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,143,Top,67.1,96
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Top,80.9,34
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,43,Top,81.4,36
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,43,Top,83.7,36
2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,87,Top,85,74
2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,87,Top,82.7,72
2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,87,Top,88.5,77
2016,Columbia,SUSQ-CYBER CS,SUSQ-CYBER CS,Math,20,Top,40,8
2016,Columbia,SUSQ-CYBER CS,SUSQ-CYBER CS,Science,19,Top,26.3,5
2016,Columbia,SUSQ-CYBER CS,SUSQ-CYBER CS,English,19,Top,63.2,13
2016,Montour,DANVILLE AREA SD,DANVILLE AREA SHS,Math,140,Top,88.5,124
2016,Montour,DANVILLE AREA SD,DANVILLE AREA SHS,Science,144,Top,90.30000000000001,131
2016,Montour,DANVILLE AREA SD,DANVILLE AREA SHS,English,145,Top,95.8,139
2016,State,,,Math,123525,Advanced,20.6,25447
2016,State,,,Science,122602,Advanced,27.1,33226
2016,State,,,English,123292,Advanced,10,12330
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,38,Advanced,10.5,4
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,38,Advanced,28.9,11
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,38,Advanced,7.9,4
2016,Columbia,BERWICK AREA SD,BERWICK AREA HS,Math,176,Advanced,21.6,39
2016,Columbia,BERWICK AREA SD,BERWICK AREA HS,Science,170,Advanced,28.8,49
2016,Columbia,BERWICK AREA SD,BERWICK AREA HS,English,173,Advanced,8.7,16
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,103,Advanced,22.3,23
