SchoolNum,District,School,Subject,Grade,Scored,County,Year,Baseline,Score
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,3,48,Columbia,2016,Advanced,12.5
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,4,56,Columbia,2016,Advanced,32.1
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,5,42,Columbia,2016,Advanced,23.8
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,6,59,Columbia,2016,Advanced,13.6
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,School Total,206,Columbia,2016,Advanced,20.4
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,3,48,Columbia,2016,Advanced,47.9
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,4,56,Columbia,2016,Advanced,25
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,5,42,Columbia,2016,Advanced,38.1
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,6,59,Columbia,2016,Advanced,8.5
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,School Total,206,Columbia,2016,Advanced,28.2
000001594,BENTON AREA SD,APPLEMAN EL SCH,Science,4,56,Columbia,2016,Advanced,69.6
000001594,BENTON AREA SD,APPLEMAN EL SCH,Science,School Total,56,Columbia,2016,Advanced,69.6
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,7,50,Columbia,2016,Advanced,12
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,8,61,Columbia,2016,Advanced,19.7
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,School Total,111,Columbia,2016,Advanced,16.2
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,7,50,Columbia,2016,Advanced,6
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,8,61,Columbia,2016,Advanced,6.6
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,School Total,111,Columbia,2016,Advanced,6.3
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,8,61,Columbia,2016,Advanced,34.4
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,School Total,61,Columbia,2016,Advanced,34.4
000006808,BERWICK AREA SD,BERWICK AREA MS,English,6,215,Columbia,2016,Advanced,20.9
000006808,BERWICK AREA SD,BERWICK AREA MS,English,7,244,Columbia,2016,Advanced,13.1
000006808,BERWICK AREA SD,BERWICK AREA MS,English,8,205,Columbia,2016,Advanced,12.2
000006808,BERWICK AREA SD,BERWICK AREA MS,English,School Total,664,Columbia,2016,Advanced,15.4
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,6,216,Columbia,2016,Advanced,10.2
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,7,244,Columbia,2016,Advanced,8.2
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,8,203,Columbia,2016,Advanced,5.4
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,School Total,663,Columbia,2016,Advanced,8
000006808,BERWICK AREA SD,BERWICK AREA MS,Science,8,203,Columbia,2016,Advanced,24.6
000006808,BERWICK AREA SD,BERWICK AREA MS,Science,School Total,203,Columbia,2016,Advanced,24.6
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,3,28,Columbia,2016,Advanced,25
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,4,35,Columbia,2016,Advanced,28.6
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,5,26,Columbia,2016,Advanced,15.4
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,English,School Total,90,Columbia,2016,Advanced,23.3
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,3,28,Columbia,2016,Advanced,46.4
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,4,36,Columbia,2016,Advanced,25
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,5,26,Columbia,2016,Advanced,34.6
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Math,School Total,90,Columbia,2016,Advanced,34.4
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Science,4,36,Columbia,2016,Advanced,41.7
000001602,BERWICK AREA SD,FOURTEENTH STREET EL,Science,School Total,36,Columbia,2016,Advanced,41.7
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,3,36,Columbia,2016,Advanced,13.9
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,4,40,Columbia,2016,Advanced,27.5
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,5,37,Columbia,2016,Advanced,5.4
000006349,BERWICK AREA SD,NESCOPECK EL SCH,English,School Total,113,Columbia,2016,Advanced,15.9
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,3,36,Columbia,2016,Advanced,33.3
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,4,40,Columbia,2016,Advanced,35
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,5,37,Columbia,2016,Advanced,45.9
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Math,School Total,113,Columbia,2016,Advanced,38.1
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Science,4,40,Columbia,2016,Advanced,47.5
000006349,BERWICK AREA SD,NESCOPECK EL SCH,Science,School Total,40,Columbia,2016,Advanced,47.5
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,3,75,Columbia,2016,Advanced,16
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,4,63,Columbia,2016,Advanced,14.3
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,5,68,Columbia,2016,Advanced,5.9
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,School Total,206,Columbia,2016,Advanced,12.1
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,3,74,Columbia,2016,Advanced,35.1
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,4,63,Columbia,2016,Advanced,12.7
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,5,68,Columbia,2016,Advanced,10.3
