Year,County,District,School,Subject,Scored,Category,Score,Students
2016,State,,,English,745248,Top,60.5,450876
2016,State,,,Math,745782,Top,42.5,316958
2016,State,,,Science,246773,Top,66.9,165092
2016,Columbia,BENTON AREA SD,APPLEMAN EL SCH,English,206,Top,75.3,156
2016,Columbia,BENTON AREA SD,APPLEMAN EL SCH,Math,206,Top,50.5,105
2016,Columbia,BENTON AREA SD,APPLEMAN EL SCH,Science,56,Top,100,56
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,111,Top,65.7,73
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,111,Top,23.400000000000002,26
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,61,Top,77,47
2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,English,664,Top,55.6,370
2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,Math,663,Top,34.8,231
2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,Science,203,Top,58.1,118
2016,Columbia,BERWICK AREA SD,FOURTEENTH STREET EL,English,90,Top,67.7,61
2016,Columbia,BERWICK AREA SD,FOURTEENTH STREET EL,Math,90,Top,64.4,58
2016,Columbia,BERWICK AREA SD,FOURTEENTH STREET EL,Science,36,Top,88.9,33
2016,Columbia,BERWICK AREA SD,NESCOPECK EL SCH,English,113,Top,68.10000000000001,77
2016,Columbia,BERWICK AREA SD,NESCOPECK EL SCH,Math,113,Top,70.80000000000001,81
2016,Columbia,BERWICK AREA SD,NESCOPECK EL SCH,Science,40,Top,85,34
2016,Columbia,BERWICK AREA SD,ORANGE STREET EL SCH,English,206,Top,58.2,120
2016,Columbia,BERWICK AREA SD,ORANGE STREET EL SCH,Math,205,Top,52.7,109
2016,Columbia,BERWICK AREA SD,ORANGE STREET EL SCH,Science,63,Top,85.7,54
2016,Columbia,BERWICK AREA SD,SALEM EL SCH,English,220,Top,62.7,138
2016,Columbia,BERWICK AREA SD,SALEM EL SCH,Math,220,Top,70,154
2016,Columbia,BERWICK AREA SD,SALEM EL SCH,Science,74,Top,85.1,63
2016,Columbia,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,English,57,Top,78.9,45
2016,Columbia,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Math,57,Top,73.7,43
2016,Columbia,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Science,16,Top,93.8,16
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,English,384,Top,65.2,251
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Math,384,Top,41.7,161
2016,Columbia,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Science,112,Top,72.4,82
2016,Columbia,BLOOMSBURG AREA SD,MEMORIAL EL SCH,English,194,Top,72.2,141
2016,Columbia,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Math,193,Top,53.900000000000006,105
2016,Columbia,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Science,67,Top,80.6,55
2016,Columbia,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,English,110,Top,67.3,75
2016,Columbia,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Math,110,Top,65.4,72
2016,Columbia,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Science,35,Top,94.2,33
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,English,274,Top,76.30000000000001,210
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Math,274,Top,65.7,181
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Science,141,Top,95.7,135
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,English,565,Top,69.5,393
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Math,564,Top,62.800000000000004,355
2016,Columbia,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Science,145,Top,75.19999999999999,110
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA EL SC,English,178,Top,58.4,104
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Math,179,Top,32.9,59
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Science,46,Top,84.8,40
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,119,Top,48.699999999999996,58
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,117,Top,31.6,37
2016,Columbia,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,60,Top,45,27
2016,Columbia,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,English,205,Top,65.9,136
2016,Columbia,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Math,206,Top,65,134
2016,Columbia,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Science,94,Top,91.5,87
2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,English,441,Top,70.7,312
2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Math,443,Top,41.9,186
2016,Columbia,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Science,118,Top,74.5,88
2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,English,564,Top,70.6,399
2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,Math,568,Top,43,245
2016,Montour,DANVILLE AREA SD,DANVILLE AREA MS,Science,185,Top,66.5,124
2016,Montour,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,English,503,Top,72,363
2016,Montour,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Math,506,Top,61,309
2016,Montour,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Science,171,Top,83.1,143
2016,State,,,English,745248,Advanced,19.1,142343
2016,State,,,Math,745782,Advanced,17.6,131258
2016,State,,,Science,246773,Advanced,33.4,82423
2016,Columbia,BENTON AREA SD,APPLEMAN EL SCH,English,206,Advanced,20.4,43
2016,Columbia,BENTON AREA SD,APPLEMAN EL SCH,Math,206,Advanced,28.2,59
2016,Columbia,BENTON AREA SD,APPLEMAN EL SCH,Science,56,Advanced,69.6,39
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,111,Advanced,16.2,18
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,111,Advanced,6.3,7
2016,Columbia,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,61,Advanced,34.4,21
2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,English,664,Advanced,15.4,103
2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,Math,663,Advanced,8,54
2016,Columbia,BERWICK AREA SD,BERWICK AREA MS,Science,203,Advanced,24.6,50
2016,Columbia,BERWICK AREA SD,FOURTEENTH STREET EL,English,90,Advanced,23.3,21
2016,Columbia,BERWICK AREA SD,FOURTEENTH STREET EL,Math,90,Advanced,34.4,31
2016,Columbia,BERWICK AREA SD,FOURTEENTH STREET EL,Science,36,Advanced,41.7,16
