Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
English,3,125284,2016,,,State,Top,60.900000000000006,76298
English,4,123597,2016,,,State,Top,58.6,72428
English,5,122868,2016,,,State,Top,61.5,75564
English,6,125263,2016,,,State,Top,61.599999999999994,77163
English,7,124961,2016,,,State,Top,61.4,76727
English,8,123275,2016,,,State,Top,58.4,71993
Math,3,125420,2016,,,State,Top,54.400000000000006,68229
Math,4,123940,2016,,,State,Top,46.5,57633
Math,5,122983,2016,,,State,Top,44.4,54605
Math,6,125305,2016,,,State,Top,41,51376
Math,7,124959,2016,,,State,Top,37,46235
Math,8,123175,2016,,,State,Top,31.2,38431
Science,4,123818,2016,,,State,Top,76.2,94350
Science,8,122955,2016,,,State,Top,57.6,70823
English,3,48,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,75,36
English,4,56,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,75,42
English,5,42,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,85.7,36
English,6,59,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,69.5,42
English,7,1,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,NA,NA
Math,3,48,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,64.6,32
Math,4,56,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,46.4,26
Math,5,42,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,64.3,28
Math,6,59,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,33.9,21
Math,7,1,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,NA,NA
Science,4,56,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Top,100,56
English,7,50,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Top,60,30
English,8,61,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Top,70.5,44
Math,7,50,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Top,24,12
Math,8,61,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Top,23,15
Science,8,61,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Top,77,47
English,6,215,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,59,127
English,7,244,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,56.1,137
English,8,205,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,51.2,105
Math,6,216,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,38.9,85
Math,7,244,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,35.7,88
Math,8,203,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,29.5,60
Science,8,203,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Top,58.1,118
English,3,28,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Top,78.6,23
English,4,35,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Top,62.9,23
English,5,26,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Top,65.4,18
English,6,1,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Top,NA,NA
Math,3,28,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Top,78.5,22
